Sales Report for Hopin Express,,,,,,,,,,
Report for 3 Months Commencing Wednesday 1st October 2025,,,,,,,,,,
,,,,,,,,,,
All Wholesalers,1414 Products Sold for Wholesaler,,,,,,,,,
Alcohol,196 Products Sold in Category,,,,,,,,,
Alcohol Beer,38 Products Sold in Sub Category,,,,,,,,,
Barcode,Issue Number,Description,Tax,Price,Qty Sold,Sales,VAT,Cost Value,Gr Profit,GM
5017689051495,,Trs Roasted & Salted Chana 300,0.00%,1.59,2,3.18,0,2.31,0.86,27.20%
5017689025007,,Trs Roasted Chana 300G,0.00%,1.49,4,5.96,0,4.48,1.48,24.80%
5017689025441,,Trs Roasted Chana Unsalted 300,0.00%,1.49,4,5.96,0,4.48,1.48,24.80%
5017689025892,,Trs Roasted Daria 300G,0.00%,1.49,2,2.98,0,2.19,0.79,26.30%
8901491435109,,Uncle Chipps Spicy Treat 55G,20.00%,0.59,29,17.01,2.83,8.69,5.48,38.70%
Sub Category Totals for Snacks,,,,,1023,1235.17,80.09,769.55,315.51,33.40%
,,,,,,,,,,
Snacks PM,43 Products Sold in Sub Category,,,,,,,,,
Barcode,Issue Number,Description,Tax,Price,Qty Sold,Sales,VAT,Cost Value,Gr Profit,GM
7622202219504,,Brunch Chocchip 1.39,20.00%,1.39,1,1.39,0.23,0.87,0.28,24.60%
5000328036175,,Doritos C/Heatwave 1.35,0.00%,1.35,4,5.4,0,3.47,1.93,35.70%
5000328036205,,Doritos C/Original 1.35,0.00%,1.35,6,8.1,0,5.42,2.68,33.00%
5000328036779,,French Fries C/O 1.35,20.00%,1.35,1,1,0.17,0.67,0.16,19.40%
5010052114629,,G/W Pickled Bikers 1,20.00%,1,7,7,1.17,3.34,2.5,42.80%
5010052114261,,G/W Spicy Bikers 1,20.00%,1,2,2,0.33,1.17,0.5,30.10%
5000237206072,,Kp B/Hoops Bbq Beef 1.35,20.00%,1.35,10,13.5,2.25,7.8,3.45,30.70%
5000237206096,,Kp Big Hoops Orig 1.35,20.00%,1.35,11,14.15,2.36,8.74,3.05,25.90%
5000237206379,,Kp Dry Roasted Nuts 1.35,20.00%,1.35,1,1.35,0.23,0.8,0.33,28.90%
5000237206195,,Kp Nik Nak Scam+Lem1.35,20.00%,1.00-1.35,8,9.74,1.62,5.25,2.87,35.40%
5000237206355,,Kp Orig Salted Nuts 1.35,20.00%,1.35,4,5.4,0.9,3.05,1.45,32.10%
5000237206232,,Kp S/Raiders P/O 1.35,20.00%,1.35,4,5.4,0.9,2.96,1.54,34.30%
5000237206010,,Kp S/Raiders P/Onion 50P,20.00%,0.5,3,1.5,0.25,0.89,0.36,28.70%
5000237206539,,Kp Skip Prawnctail 1.35,0.00%,1.35,11,14.85,0,10.51,4.34,29.20%
5000237206034,,Kp Sp/Raiders Beef 50P,20.00%,0.5,13,6.5,1.08,3.86,1.56,28.70%
5010052115626,,Marmite Crisps Pm 1.25,20.00%,1.25,32,40,6.67,23.09,10.24,30.70%
5000237206690,,Mccoys Ched&Onion 1.35,20.00%,1.35,4,5.4,0.9,2.44,2.06,45.70%
5000168041544,,Mcvities Cheddars Pm1.59,0.00%,1.59,1,0.5,0,1,-0.5,-99.80%
5000328037028,,Monster Munch Beef 1.35,20.00%,1.35,9,12.15,2.02,7.01,3.12,30.80%
8410076801470,,N/V Oat&Hon Grn/Bar 2F1,20.00%,0.59,5,2.59,0.43,1.72,0.44,20.30%
5000237206171,,Nik Nak Rib & Saucy1.35,20.00%,1.35,6,8.1,1.35,4.29,2.46,36.50%
5000237206157,,Nik Naks Nic N Spic 1.35,20.00%,1.35,4,5.4,0.9,2.86,1.64,36.50%
5053990185917,,Prin Sour Crea&Onion1.25,20.00%,1.25,2,2.5,0.42,1.58,0.5,24.10%
5053990172610,,Pringle Hot&Spicy 1.25,20.00%,1.25,1,1.25,0.21,0.79,0.25,24.10%
